iter	Logloss	Accuracy	Recall
402	0.2138783088	0.9248540465	0.8503686776
403	0.2138504643	0.9248361929	0.8503329703
404	0.2138133272	0.9248272661	0.8503151167
405	0.2136538151	0.924880827	0.8504043849
406	0.2136237205	0.9248897538	0.8504579458
407	0.2135881879	0.9248897538	0.8504579458
408	0.2135418901	0.9248719002	0.8504400921
409	0.2134184905	0.9249165343	0.8505293603
410	0.2133810197	0.9249433147	0.8505650676
411	0.2132472723	0.9250147292	0.8507078967
412	0.2132129728	0.9250147292	0.8507078967
413	0.2131625299	0.9250147292	0.8507078967
414	0.213119467	0.9250236561	0.8507257503
415	0.2130956148	0.9250415097	0.8507614576
416	0.2130615095	0.9250325829	0.8507436039
417	0.2130287276	0.9250325829	0.8507257503
418	0.212934507	0.9250415097	0.8507614576
419	0.2128992581	0.9250415097	0.8507971648
420	0.2128550206	0.9250236561	0.8507436039
421	0.2128302044	0.9250504365	0.8507793112
422	0.2127369414	0.9250861438	0.8508507258
423	0.2126674658	0.9251129242	0.8509042867
424	0.2124754911	0.9251307779	0.8509399939
425	0.212352191	0.9252111192	0.8511006767
426	0.2123149586	0.9252021924	0.851082823
427	0.2122795922	0.9252111192	0.8511006767
428	0.2122310502	0.9252378997	0.8511542376
429	0.2122049317	0.9252646802	0.8512077985
430	0.2121752867	0.9252557533	0.8512256521
431	0.2121433479	0.925273607	0.8512613594
432	0.2121232987	0.9252646802	0.8512256521
433	0.2120786078	0.9252557533	0.8512256521
434	0.2118221429	0.9253539483	0.8514220421
435	0.2115896792	0.9253896556	0.851475603
436	0.2114948305	0.9253985824	0.8514934566
437	0.2111563835	0.925568192	0.8518148221
438	0.2111295967	0.9255503383	0.8518148221
439	0.2111000249	0.9255860456	0.851868383
440	0.2109239811	0.9256306797	0.8519576512
441	0.2107549305	0.9257199479	0.8521183339
442	0.2106856834	0.925711021	0.8521004803
443	0.2106477772	0.9257378015	0.8521361875
444	0.2106057921	0.9257467283	0.8521361875
445	0.2105156553	0.9257378015	0.8521361875
446	0.2104791001	0.9257020942	0.8520826266
447	0.2104481408	0.9257020942	0.8520826266
448	0.210403357	0.9257199479	0.8521004803
449	0.2103805703	0.9257020942	0.852064773
450	0.2103560921	0.9256931674	0.8520826266
451	0.2103200101	0.925711021	0.8521004803
452	0.210271298	0.9257288747	0.8521361875
453	0.2102388312	0.9257020942	0.8520826266
454	0.2102052286	0.9256931674	0.8520826266
455	0.2101756514	0.9257020942	0.8521004803
456	0.2101487308	0.9256931674	0.8520826266
457	0.2101245923	0.9257020942	0.8521004803
